,0,1,2,3,4
29,29	19790101	197901	1979	1979.0027											MED	WRITER						MED			1	112	112	11	3	-2	9	1	9	1.38888888888889					0	0	0	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20130203
30,30	19790101	197901	1979	1979.0027											MEX	MEXICO	MEX								1	043	043	04	1	2.8	9	1	9	5.40540540540541					0	0	0					0	0	0					0	0		20130203,,,,
31,31	19790101	197901	1979	1979.0027											MIL	COMMANDER						MIL			1	040	040	04	1	1	10	1	10	4.16666666666667					0	0	0	5	West Lake Region, Kagera, Tanzania	TZ	TZ19	-2	31.5	-2574875	5	West Lake Region, Kagera, Tanzania	TZ	TZ19	-2	31.5		20130203
32,32	19790101	197901	1979	1979.0027											MOS	IMAM				MOS					0	042	042	04	1	1.9	4	1	4	7.86516853932584					0	0	0	0	Moscow, Moskva, Russia	RS	RS48	55.7522	37.6156	-2960561	0	Moscow, Moskva, Russia	RS	RS48	55.7522	37.6156		20130203
33,33	19790101	197901	1979	1979.0027											NPL	KATHMANDU	NPL								1	042	042	04	1	1.9	6	1	6	4.31654676258993					0	0	0	4	Islamabad, Islamabad, Pakistan	PK	PK08	33.7	73.1667	-2762812	4	Islamabad, Islamabad, Pakistan	PK	PK08	33.7	73.1667	-2762812	20130203
34,34	19790101	197901	1979	1979.0027											RUS	RUSSIA	RUS								0	040	040	04	1	1	1	1	1	7.86516853932584					0	0	0	0	Moscow, Moskva, Russia	RS	RS48	55.7522	37.6156	-2960561	0	Moscow, Moskva, Russia	RS	RS48	55.7522	37.6156		20130203
35,35	19790101	197901	1979	1979.0027											RUS	RUSSIA	RUS								0	042	042	04	1	1.9	1	1	1	7.86516853932584					0	0	0	4	Mongol, Khabarovskiy Kray, Russia	RS	RS30	52.1256	140.381	-2959894	4	Mongol, Khabarovskiy Kray, Russia	RS	RS30	52.1256	140.381	-2959894	20130203
36,36	19790101	197901	1979	1979.0027											RUS	MOSCOW	RUS								1	046	046	04	1	7	10	1	10	2.83018867924528					0	0	0	0	Moscow, Moskva, Russia	RS	RS48	55.7522	37.6156	-2960561	0	Moscow, Moskva, Russia	RS	RS48	55.7522	37.6156		20130203
37,37	19790101	197901	1979	1979.0027											TMP	EAST TIMOR	TMP								1	080	080	08	2	5	4	1	4	1.14942528735632					0	0	0	4	Dili, East Timor (general), East Timor	TT	TT00	-8.55861	125.574	-2676852	4	Dili, East Timor (general), East Timor	TT	TT00	-8.55861	125.574	9004104	20130203
38,38	19790101	197901	1979	1979.0027											TMP	EAST TIMOR	TMP								1	190	190	19	4	-10	4	1	4	1.14942528735632					0	0	0	4	Dili, East Timor (general), East Timor	TT	TT00	-8.55861	125.574	-2676852	4	Dili, East Timor (general), East Timor	TT	TT00	-8.55861	125.574	9004104	20130203
